time,accel.x,accel.y,accel.z,att.roll,att.roll_sp,alt.baro,bat.voltage,bat.current,throttle,gps.satellites,gps.hdop,armed
0.0000,-0.6435,-0.8461,-10.0922,0.0039,0.0000,0.0931,23.8603,0.4000,0.0000,4.0000,4.5000,0.0000
0.0100,-0.2241,-1.6933,-9.4475,0.0034,0.0000,0.1296,23.8593,0.4000,0.0000,4.0000,4.5000,0.0000
0.0200,0.0931,-0.2835,-9.3750,0.0029,0.0000,0.1661,23.8584,0.4000,0.0000,4.0000,4.5000,0.0000
0.0300,-0.0791,-0.5470,-7.7530,0.0019,0.0000,0.2026,23.8574,0.4000,0.0000,4.0000,4.5000,0.0000
0.0400,-0.1563,0.3311,-9.8588,0.0008,0.0000,0.2391,23.8564,0.4000,0.0000,4.0000,4.5000,0.0000
0.0500,0.7994,-0.0525,-10.4814,-0.0001,0.0000,0.2756,23.8554,0.4000,0.0011,4.0000,4.5000,0.0000
0.0600,0.2775,-0.1431,-10.4431,-0.0010,0.0000,0.2631,23.8544,0.4000,0.0022,4.0000,4.5000,0.0000
0.0700,-0.2134,-0.4893,-10.6297,-0.0008,0.0000,0.2506,23.8535,0.4000,0.0033,4.0000,4.5000,0.0000
0.0800,-0.3849,-0.4565,-10.1869,-0.0007,0.0000,0.2381,23.8525,0.4000,0.0044,4.0000,4.5000,0.0000
0.0900,-0.0239,-0.9869,-10.4311,-0.0038,0.0000,0.2256,23.8515,0.4000,0.0082,4.0000,4.5000,0.0000
0.1000,0.8573,0.2028,-11.7560,-0.0070,0.0000,0.2131,23.8505,0.4000,0.0121,4.0000,4.5000,0.0000
0.1100,1.0783,-0.1838,-9.3982,-0.0032,0.0000,0.1500,23.8492,0.4000,0.0159,4.0000,4.5000,0.0000
0.1200,0.0576,-0.8385,-9.5790,0.0006,0.0000,0.0870,23.8479,0.4000,0.0197,4.0000,4.5000,0.0000
0.1300,-0.2527,0.3948,-11.8738,-0.0004,0.0000,0.0239,23.8467,0.4000,0.0148,4.0000,4.5000,0.0000
0.1400,-0.9536,0.0607,-10.2965,-0.0014,0.0000,-0.0392,23.8454,0.4000,0.0098,4.0000,4.5000,0.0000
0.1500,-0.1919,-0.0666,-8.2385,-0.0002,0.0000,-0.1022,23.8441,0.4000,0.0049,4.0000,4.5000,0.0000
0.1600,0.6547,-0.4550,-8.7032,0.0010,0.0000,-0.1863,23.8428,0.4000,0.0000,4.0000,4.5000,0.0000
0.1700,-1.2585,0.5398,-9.4763,0.0011,0.0000,-0.2704,23.8415,0.4000,0.0000,4.0000,4.5000,0.0000
0.1800,0.6738,0.0636,-10.6162,0.0011,0.0000,-0.3545,23.8402,0.4000,0.0000,4.0000,4.5000,0.0000
0.1900,-0.1398,0.6463,-9.6530,0.0025,0.0000,-0.4386,23.8389,0.4000,0.0000,4.0000,4.5000,0.0000
0.2000,0.2642,0.7485,-10.1101,0.0038,0.0000,-0.5227,23.8376,0.4000,0.0000,4.0000,4.5000,0.0000
0.2100,0.0707,0.5414,-8.8932,0.0014,0.0000,-0.5151,23.8378,0.4000,0.0001,4.0000,4.5000,0.0000
0.2200,0.7638,0.3042,-9.6707,-0.0011,0.0000,-0.5076,23.8379,0.4000,0.0003,4.0000,4.5000,0.0000
0.2300,-0.2067,0.0527,-10.3648,-0.0000,0.0000,-0.5001,23.8380,0.4000,0.0004,4.0000,4.5000,0.0000
0.2400,-0.1973,0.0213,-9.9633,0.0010,0.0000,-0.4926,23.8381,0.4000,0.0005,4.0000,4.5000,0.0000
0.2500,-1.1299,0.2244,-9.3778,0.0028,0.0000,-0.4851,23.8382,0.4000,0.0005,4.0000,4.5000,0.0000
0.2600,-0.0719,-0.0987,-8.8304,0.0047,0.0000,-0.3668,23.8384,0.4000,0.0004,4.0000,4.5000,0.0000
0.2700,0.2563,0.0416,-9.5895,0.0015,0.0000,-0.2485,23.8385,0.4000,0.0004,4.0000,4.5000,0.0000
0.2800,0.1294,-0.1696,-10.4274,-0.0017,0.0000,-0.1303,23.8386,0.4000,0.0003,4.0000,4.5000,0.0000
0.2900,-0.4745,0.7653,-9.9201,-0.0008,0.0000,-0.0120,23.8387,0.4000,0.0003,4.0000,4.5000,0.0000
0.3000,-0.6277,0.4477,-10.2023,0.0001,0.0000,0.1062,23.8388,0.4000,0.0002,4.0000,4.5000,0.0000
0.3100,0.0318,0.2304,-10.7494,0.0002,0.0000,0.1609,23.8352,0.4000,0.0001,4.0000,4.5000,0.0000
0.3200,-0.3843,0.5688,-9.8803,0.0002,0.0000,0.2156,23.8316,0.4000,0.0000,4.0000,4.5000,0.0000
0.3300,0.9243,-0.3181,-9.6515,-0.0018,0.0000,0.2703,23.8280,0.4000,0.0000,4.0000,4.5000,0.0000
0.3400,0.0564,-0.3709,-9.5438,-0.0038,0.0000,0.3250,23.8244,0.4000,0.0000,4.0000,4.5000,0.0000
0.3500,-0.6682,0.8992,-9.3696,-0.0013,0.0000,0.3797,23.8207,0.4000,0.0000,4.0000,4.5000,0.0000
0.3600,0.8354,0.2154,-10.0676,0.0011,0.0000,0.2844,23.8171,0.4000,0.0000,4.0000,4.5000,0.0000
0.3700,0.2306,1.2634,-10.0608,-0.0011,0.0000,0.1890,23.8135,0.4000,0.0000,4.0000,4.5000,0.0000
0.3800,0.4700,0.6485,-10.3173,-0.0034,0.0000,0.0937,23.8099,0.4000,0.0000,4.0000,4.5000,0.0000
0.3900,0.1989,-0.0895,-11.1996,0.0003,0.0000,-0.0017,23.8063,0.4000,0.0000,4.0000,4.5000,0.0000
0.4000,-0.6814,-0.1780,-10.2499,0.0040,0.0000,-0.0970,23.8026,0.4000,0.0000,4.0000,4.5000,0.0000
0.4100,0.3227,-1.0000,-10.5944,0.0001,0.0000,-0.0588,23.8022,0.4000,0.0014,4.0000,4.5000,0.0000
0.4200,-0.5366,-1.1575,-10.3212,-0.0038,0.0000,-0.0206,23.8017,0.4000,0.0028,4.0000,4.5000,0.0000
0.4300,-1.6141,-0.1503,-10.5605,-0.0015,0.0000,0.0176,23.8013,0.4000,0.0042,4.0000,4.5000,0.0000
0.4400,0.7730,-0.4580,-9.4266,0.0008,0.0000,0.0558,23.8008,0.4000,0.0056,4.0000,4.5000,0.0000
0.4500,-0.9934,-0.5166,-7.8937,0.0002,0.0000,0.0939,23.8004,0.4000,0.0058,4.0000,4.5000,0.0000
0.4600,0.3929,0.3679,-10.4072,-0.0003,0.0000,-0.0034,23.7999,0.4000,0.0060,4.0000,4.5000,0.0000
0.4700,0.4194,0.2918,-8.9185,0.0004,0.0000,-0.1007,23.7994,0.4000,0.0062,4.0000,4.5000,0.0000
0.4800,-0.2180,0.9108,-8.8425,0.0011,0.0000,-0.1980,23.7990,0.4000,0.0065,4.0000,4.5000,0.0000
0.4900,0.6281,0.4190,-9.6301,0.0012,0.0000,-0.2953,23.7985,0.4000,0.0048,4.0000,4.5000,0.0000
0.5000,0.3086,0.4643,-10.0716,0.0014,0.0000,-0.3926,23.7981,0.4000,0.0032,4.0000,4.5000,0.0000
0.5100,0.4354,-0.0935,-9.6171,-0.0006,0.0000,-0.3497,23.7986,0.4000,0.0016,4.0000,4.5000,0.0000
0.5200,0.2077,-0.3283,-11.1311,-0.0026,0.0000,-0.3069,23.7991,0.4000,0.0000,4.0000,4.5000,0.0000
0.5300,0.4091,0.7139,-10.6529,-0.0007,0.0000,-0.2641,23.7996,0.4000,0.0024,4.0000,4.5000,0.0000
